V1005,year,cluster_label
14963503493037565676,2016,0
14966803410177565685,2016,1
14981665499668564564,2016,2
20025159040529293729,2016,0
20056214630920298253,2016,3
20077539091937294237,2016,3
20084478094304298888,2016,0
20122214474542295393,2016,2
20123225471929294229,2016,2
20264896300637292037,2016,0
20275825954528295382,2016,2
20336648437642292993,2016,0
20358989454529295329,2016,0
20571048091388299304,2016,3
20592144292253592020,2016,0
20608635190920298253,2016,0
20609926454729290429,2016,2
20790527199137292937,2016,3
20794434436329299329,2016,0
20797233434329298829,2016,3
20843851954142294293,2016,1
20862722280188294204,2016,0
20907996190604292088,2016,1
20909798434542295393,2016,0
22010258321899564565,2016,2
22013958561886564592,2016,3
22014158161624564584,2016,2
22041384399427568215,2016,0
22041958359444568208,2016,2
22046865493610568258,2016,2
22046884393678568258,2016,3
22100208686420563865,2016,1
22100215133167563865,2016,0
22101308443160563815,2016,1
22101615194340563803,2016,3
22101615823538583803,2016,1
22103915560380563892,2016,0
22171308418116563815,2016,2
22244684323744563233,2016,1
22246899362667563258,2016,0
22264158139161563284,2016,0
22424658169325568233,2016,3
22424658169325568233,2016,0
22481392599244584415,2016,3
22485233464885564499,2016,1
22506892391037563458,2016,1
22555265199666564599,2016,1
22601392026092564415,2016,3
22605292443917564499,2016,0
22666865497397564958,2016,0
22671603195738563603,2016,1
22674608529725563633,2016,1
22691665419015565603,2016,2
22691903382525585608,2016,0
22755208467709563499,2016,0
22756884197758563458,2016,2
22781365021979564915,2016,1
22781665416792564903,2016,0
22785265465490564999,2016,1
22814125381358563484,2016,0
22834115160457565984,2016,0
22961603393896565603,2016,3
22961903135569565608,2016,1
25021608463355564903,2016,3
25050225326791564965,2016,1
25064103456861565684,2016,3
25121933527208564408,2016,0
25161684462553565603,2016,3
25205292027722563499,2016,1
25216803195182563658,2016,0
25221633824153565903,2016,0
25226833020058565958,2016,0
25231358593669568215,2016,1
25284115564852564484,2016,0
25295208363661568299,2016,0
25371984383269563208,2016,3
25420258329335568265,2016,3
25421384364653568215,2016,1
25481615396009564403,2016,1
25540233385935563665,2016,0
25574625167392564933,2016,3
25641325411079563415,2016,3
25693933646853565692,2016,2
25733908130500563692,2016,1
25740292359159563265,2016,0
25801308335789563615,2016,0
25835299020055565999,2016,3
25873999683271563292,2016,0
25883599590382563825,2016,2
25901625399665564503,2016,1
25973925388089564992,2016,0
28010362951929294229,2016,0
28012767303088292804,2016,0
28013998911620292853,2016,0
28016107913088292804,2016,0
28043984384649588212,2016,3
28051244194553295320,2016,0
28080307094320298853,2016,3
28084159063093292842,2016,3
28123508466073564476,2016,2
28123508466073564476,2016,1
28123903166045564412,2016,0
28124615169511564421,2016,0
28216808828488563685,2016,1
28221096199588293704,2016,3
28221835439593293742,2016,0
28235258029313568274,2016,1
28235258029313568274,2016,3
28250598094737290437,2016,0
